candidate_id,risk_score,suspicious_events,session_duration,phone_detected,multiple_faces,audio_anomaly
101,85,4,52,True,False,True
102,22,0,35,False,False,False
103,67,2,48,True,False,False
104,91,6,70,True,True,True
105,45,1,40,False,False,False
106,78,3,55,True,False,True
107,15,0,30,False,False,False
108,88,5,65,True,True,False
109,34,1,42,False,False,False
110,72,2,50,True,False,True
111,55,1,45,False,False,False
112,63,2,47,True,False,False
113,29,0,33,False,False,False
114,81,4,58,True,True,True
115,49,1,44,False,False,False
116,90,6,75,True,True,True
117,38,1,39,False,False,False
118,60,2,46,True,False,False
119,74,3,53,True,False,True
120,18,0,28,False,False,False
121,84,5,61,True,True,True
122,43,1,41,False,False,False
123,57,2,49,True,False,False
124,95,7,80,True,True,True
125,31,0,36,False,False,False
126,68,2,51,True,False,False
127,77,4,57,True,True,True
128,26,0,32,False,False,False
129,52,1,43,False,False,False
130,87,5,69,True,True,True
